noop,fork-simple,vfork-simple
30,36846,11423
29,39800,15237
27,36648,11255
27,38825,11499
28,40057,11580
28,36722,15168
28,36400,15457
28,39957,11483
28,41290,13498
29,37089,15693
28,39197,12059
28,39254,11540
27,40565,11546
28,37476,14879
28,43640,11230
27,44235,10844
28,37092,12400
28,43266,16907
28,35817,11548
28,38657,11614
28,36683,10968
27,40963,15834
28,36690,17844
30,42163,11500
28,36102,12243
27,38759,16543
27,39787,10827
28,36849,11949
28,39274,11949
28,39979,15262
28,40874,11553
27,37060,11884
29,36741,12106
28,39485,16405
28,47379,11478
28,38062,11214
28,35756,13890
28,41454,14342
28,40428,14907
28,37614,10748
28,37924,11345
28,44687,17194
28,37109,10988
28,35746,11386
28,39336,16171
28,42322,15247
28,36931,12873
28,37835,11119
30,37007,11433
27,42226,17305
28,35728,13546
28,35877,10906
28,38723,12736
28,38085,18102
28,36330,10934
27,37916,11368
28,39121,10945
27,39330,14670
28,36060,11254
27,38421,11197
28,42789,11408
28,41531,14641
28,38299,11259
28,42512,11689
28,38643,13338
28,38422,14997
28,37491,11481
28,44374,11149
29,37332,10941
29,38619,19187
28,36642,11028
28,40071,11134
28,35910,14435
28,39393,14370
29,41539,10390
28,37503,10672
29,36365,12013
28,35737,15359
28,41064,13570
29,40295,10711
29,44618,10677
28,39912,14562
29,40912,11317
28,39861,12527
28,39726,14346
28,38981,15171
27,35900,11185
29,36888,10789
28,36194,10816
28,42018,14820
30,36757,11034
28,36615,11038
28,37126,13200
27,41650,14743
28,36585,11251
28,36434,11112
28,37354,11258
28,42777,17197
28,36794,11031
28,36689,12211
30,39939,20771
28,37045,14336
27,35948,10562
28,36710,10759
28,45650,10475
28,36286,14451
28,38759,12233
28,36504,10918
28,40994,11068
28,36163,14354
27,37129,10857
28,39993,10627
28,36329,10944
28,40152,15508
28,40018,11379
27,41177,15457
28,38277,10654
28,38765,14748
28,36994,10724
27,44737,10970
28,40572,13518
27,38107,15149
29,40752,10382
28,37952,10403
28,40320,10861
28,36166,15231
28,44760,11491
27,38547,12109
28,37635,14446
28,39105,13730
28,40828,11218
28,41669,14291
28,37186,10866
29,39545,13900
27,40350,13471
28,46057,10646
29,36581,10658
28,40319,14352
28,38880,11086
28,42152,10736
27,37386,10668
27,41408,14242
28,38991,11244
28,38183,10830
28,36607,11282
27,40331,14753
