noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
29,6747,7600,38152,41678,12916,11659
30,6469,7712,43321,44494,13307,12198
29,6786,7728,39719,45925,12666,15766
29,6613,7656,39570,42410,12531,15897
30,6525,7698,37447,43543,12829,11641
29,6661,7675,41771,48088,12264,11837
29,6310,7637,37183,46282,12833,12066
30,6741,7398,38244,42136,12832,15576
29,6512,7606,41228,44459,12629,12333
29,6415,7639,37232,42965,15600,13559
29,6649,7596,37285,42291,13538,12597
30,6424,7570,38252,41830,11986,16392
29,6409,7684,41518,45890,12466,15057
30,6469,7617,37775,42960,12657,11678
29,6322,7618,37927,42586,11896,12159
29,6589,7626,38664,47517,12476,16202
29,7084,7641,44056,43000,12963,11995
29,6481,8094,40864,43129,11983,12210
29,6812,7672,37421,46293,13491,14750
30,6679,7668,41791,42714,13067,15185
29,8345,7630,36882,42111,12601,10974
30,6827,7641,37451,45374,13530,11197
30,6434,7596,36638,42502,11805,11479
29,6694,7566,41785,43730,11992,16716
29,6527,7684,37949,42851,17472,10996
30,6411,7680,37332,46580,11874,11483
29,6701,7646,37725,42424,12073,11728
30,5878,7579,41503,42810,11124,15568
29,7189,7668,37369,45518,11226,13905
30,6626,7671,37932,42312,12266,12440
29,6403,7542,37340,41648,12461,11832
29,6884,7595,40324,46109,12628,14784
30,6447,7606,37516,41824,12398,13113
29,6427,7605,38533,44925,12184,14562
29,6949,7699,41480,43007,12444,10869
30,6571,7685,38462,46306,13188,14866
29,6445,7593,37168,41473,15984,10625
29,6633,7675,37781,42632,11568,13232
29,7046,7675,45066,45657,12835,10620
30,6874,7661,40708,41829,11445,14673
29,6592,7643,39540,42411,15508,15302
29,5556,7587,37891,46757,11669,10915
29,7383,7663,40073,45429,11284,11437
29,6741,7455,36848,42174,11285,15044
30,6770,7703,37540,41982,11645,11195
29,6501,7725,43259,44697,12001,11454
30,6365,7696,37823,42154,11688,12380
30,6724,7647,37436,42416,12298,15344
30,6524,7616,37487,46163,12367,11613
29,6739,7561,39385,42551,11239,14697
29,6688,7622,38047,41835,11547,11041
29,6705,7661,40991,45992,11607,16158
29,6512,7681,39957,42770,13694,11268
29,5795,7640,41966,42006,12110,10611
29,7426,7806,41221,41657,11299,11055
30,7230,7549,37918,46097,17602,15643
30,6798,7574,42695,41865,14271,10931
30,7003,7708,37628,41351,12816,10752
30,6862,7611,37770,46963,12394,11320
30,6873,7630,38066,42609,11516,14694
30,6749,7670,42861,46439,12258,11858
30,5643,7605,37070,45559,12273,11291
29,7361,7622,38134,42261,11616,11258
30,6874,7650,37058,42658,12301,15060
29,6792,7653,44480,41756,12423,13258
29,6622,7654,35942,44757,11756,13324
29,6789,7641,36325,41749,14160,11022
29,6698,7694,41304,42102,11548,14514
29,6593,7693,40372,46379,11639,14951
30,6984,7568,36496,44200,12637,11369
30,6632,7554,36885,41898,12420,10646
30,6894,7761,40632,47143,15737,15764
29,6693,7657,39824,42430,12674,11017
30,6770,7557,38046,42814,12153,10584
30,6980,7729,40148,45651,11943,11538
29,6798,7643,42904,42930,11923,14284
29,6659,7613,39134,42237,11813,11848
29,6723,7645,36832,44234,12213,11433
30,6575,7752,37752,45352,13321,11544
