noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
30,6223,7544,38982,48124,11526,14894
30,6538,7664,46537,43503,11917,12330
30,6360,7593,43983,43462,11293,12839
28,6032,7616,42545,46534,11427,12078
31,6296,7616,48020,43598,12012,12598
30,6179,7776,43061,42620,13355,11078
29,5818,7644,43299,47668,11687,11005
29,6699,7507,43773,47238,11474,11379
30,6242,7585,43309,43750,11596,11428
29,6371,7633,39782,43217,11314,11152
30,6286,7668,41413,45397,11696,11390
29,6198,7632,43125,45382,11206,11645
29,7248,7739,39485,43563,11979,11797
29,5631,7576,38574,49289,12388,11357
29,6328,7561,44865,42457,1650344,12329
29,6401,7609,38805,44496,14433,11992
29,6138,7677,38895,42716,12827,15192
30,6406,7586,42693,48280,13241,11805
29,6318,7655,41779,42314,13175,11599
29,5982,7657,37290,45960,12634,11692
30,6486,7728,38799,45225,12783,11491
29,6082,7621,43408,43458,15068,11195
30,6394,7666,41160,43972,11687,11075
29,6345,7597,39237,49333,11159,13760
30,6008,7724,41892,41405,11920,11489
29,6327,7642,38509,41953,11783,11031
29,5868,7637,39739,43790,10913,11694
29,5836,7557,41453,47850,11784,12566
30,6832,7620,38964,42306,11853,12481
29,5482,7558,38460,43000,11796,12082
29,7110,7644,40583,46616,11588,12838
30,6395,7544,42729,42175,11369,11698
29,5952,7717,38376,43731,11388,13844
29,6453,7557,38529,46492,12447,11676
30,6312,7530,44970,42106,11290,11211
30,5901,7506,39238,42723,11634,11209
29,6336,7691,43234,45237,11259,12150
30,6105,7632,45314,42937,14864,11138
29,6443,7602,43417,42134,11415,11711
30,6361,7627,44391,41725,11179,11228
30,6076,7581,40518,45824,11337,12019
30,6304,7630,45327,43925,12039,11869
29,6355,7668,44315,42868,11565,12935
29,7308,7602,40330,45647,11882,12244
30,6325,7569,45950,43820,11484,12299
30,6019,7784,42452,43767,12186,11966
30,6170,7700,41002,47640,11962,11951
30,6306,7555,42676,43238,12757,15059
30,6002,7661,38368,44242,12978,11013
30,6353,7630,38756,42206,13592,10817
29,6290,7570,42055,46966,12851,11527
